-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2026 through 04/14/2026 in LST
Location: latitude  33.8711   longitude -89.0592 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 95.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M
2026,1,11.27,17.9,-0.18,0.0,1.61
2026,2,4.56,17.48,6.76,11.39,1.75
2026,3,3.78,15.15,3.29,0.06,2.05
2026,4,10.82,13.09,-0.05,0.0,0.99
2026,5,8.97,17.28,4.13,0.01,1.8
2026,6,5.42,20.53,8.23,0.08,2.24
2026,7,9.95,21.34,10.43,0.08,1.24
2026,8,6.47,21.98,11.41,0.7,2.99
2026,9,6.77,21.71,15.52,31.58,1.8
2026,10,4.45,16.17,4.23,12.79,2.85
2026,11,12.97,9.02,-2.17,0.0,2.53
2026,12,12.9,10.8,-3.64,0.0,0.97
2026,13,12.87,15.35,-2.37,0.02,1.99
2026,14,2.88,11.88,-0.9,1.54,3.09
2026,15,13.46,5.07,-5.38,0.0,2.2
2026,16,12.81,14.7,-3.57,5.98,2.98
2026,17,7.79,9.11,-1.69,0.03,2.29
2026,18,13.66,3.61,-6.4,0.0,1.86
2026,19,13.21,8.96,-4.56,0.0,1.88
2026,20,13.56,8.13,-5.2,0.0,1.19
2026,21,3.55,12.54,-2.25,12.52,2.28
2026,22,6.78,10.52,5.85,2.95,1.91
2026,23,10.37,9.55,-2.19,0.01,3.12
2026,24,1.97,1.09,-3.99,22.41,2.97
2026,25,3.39,1.59,-9.68,40.95,3.26
2026,26,12.54,-6.02,-14.86,0.03,2.91
2026,27,15.02,1.37,-12.44,0.03,2.16
2026,28,-999.0,4.66,-5.4,0.01,1.35
2026,29,8.89,5.39,-2.75,0.35,1.38
2026,30,13.5,3.23,-7.03,0.06,3.16
2026,31,12.57,-4.55,-9.78,0.0,4.68
2026,32,15.01,1.46,-11.84,0.0,1.63
2026,33,14.89,10.71,-6.34,0.0,1.68
2026,34,2.32,8.53,0.78,12.13,2.13
2026,35,6.16,8.34,-3.98,0.02,2.95
2026,36,15.59,5.8,-5.43,0.0,2.15
2026,37,15.44,17.81,-1.81,0.0,2.64
2026,38,15.95,12.63,-1.92,0.0,1.78
2026,39,15.02,16.0,-2.85,0.0,1.69
2026,40,15.43,21.75,4.82,0.0,1.46
2026,41,4.37,20.6,10.33,0.36,2.35
2026,42,5.66,15.65,4.63,2.99,2.32
2026,43,16.42,16.15,0.84,0.0,1.57
2026,44,16.26,18.12,3.26,0.03,1.36
2026,45,8.33,18.21,6.46,0.17,2.77
2026,46,5.61,17.84,9.65,5.6,3.75
2026,47,16.74,18.35,5.94,0.03,1.32
2026,48,3.8,18.53,5.93,0.0,2.8
2026,49,3.95,20.64,13.21,0.14,3.04
2026,50,11.76,24.9,15.78,1.01,3.74
2026,51,17.12,19.55,9.59,0.95,2.16
2026,52,14.42,19.46,4.07,11.02,3.05
2026,53,18.93,8.35,-2.07,0.0,3.83
2026,54,19.06,4.62,-5.29,0.0,2.82
2026,55,17.04,11.45,-5.68,0.0,2.14
2026,56,7.63,19.12,3.94,0.06,2.88
2026,57,10.83,22.41,14.91,15.85,2.47
2026,58,19.09,20.68,8.85,1.05,1.86
2026,59,19.32,22.78,5.96,0.0,1.21
2026,60,8.63,21.06,8.13,0.0,0.6
2026,61,17.57,24.29,12.19,0.0,0.81
2026,62,17.94,20.68,13.35,0.47,1.02
2026,63,15.26,24.82,15.42,0.29,1.01
2026,64,13.13,25.35,16.48,0.46,0.97
2026,65,14.72,23.62,15.85,0.93,1.08
2026,66,13.8,23.92,18.05,16.39,1.01
2026,67,13.15,19.69,14.5,15.84,0.49
2026,68,10.04,22.8,14.04,12.76,0.8
2026,69,14.12,25.87,18.85,1.89,1.04
2026,70,10.23,25.44,11.95,32.16,1.36
2026,71,21.58,13.55,4.98,1.52,1.47
2026,72,21.15,19.6,3.47,0.0,0.82
2026,73,21.09,23.21,6.73,0.0,0.91
2026,74,13.9,23.34,12.62,17.08,1.81
2026,75,12.14,8.49,-1.24,0.5,1.74
2026,76,22.12,8.49,-4.58,0.0,0.84
2026,77,21.47,16.53,1.68,0.0,0.83
2026,78,21.49,22.22,6.15,0.0,0.67
2026,79,21.43,25.0,9.91,0.01,0.91
2026,80,21.64,26.77,13.71,0.0,0.93
2026,81,22.08,27.62,15.14,0.0,1.14
2026,82,21.91,20.23,9.75,0.0,1.33
2026,83,15.02,21.12,8.12,0.0,0.63
2026,84,-999.0,25.61,10.78,0.03,0.83
2026,85,21.89,26.55,15.57,0.04,1.13
2026,86,9.83,23.46,9.88,0.87,1.38
2026,87,23.89,17.23,6.3,0.0,1.25
2026,88,22.81,22.61,6.03,0.02,1.11
2026,89,17.62,24.83,12.66,0.15,1.15
2026,90,17.11,24.41,17.24,1.22,1.15
2026,91,19.27,26.29,17.74,3.37,1.21
2026,92,15.6,25.26,17.85,0.54,1.31
2026,93,22.39,27.48,17.67,0.09,1.14
2026,94,12.88,23.92,17.33,22.57,0.96
2026,95,24.35,18.59,10.11,3.63,1.48
2026,96,22.31,19.8,7.92,0.0,1.02
2026,97,-999.0,22.54,8.23,0.0,1.01
2026,98,-999.0,24.14,10.31,0.0,0.82
2026,99,-999.0,23.83,11.07,0.0,0.84
2026,100,-999.0,25.53,10.36,0.0,0.62
2026,101,-999.0,-999.0,-999.0,-999.0,-999.0
2026,102,-999.0,-999.0,-999.0,-999.0,-999.0
2026,103,-999.0,-999.0,-999.0,-999.0,-999.0
2026,104,-999.0,-999.0,-999.0,-999.0,-999.0
