File Name,Dataset,aid,date_8day,Count,ETa_min,ETa_max,Range,ETa_mm_8day,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile,QC_flag,ETa_mm_day
MOD16A2GF_061_ET_500m_doy2025089000000_aid0001,ET_500m,aid0001,2025-03-30,562938,14.4,59.3,"(14.4,59.3)",21.9302154,4.1387087,17.1289097,25.0,34.6,21.2,14.4,18.6,0,2.741
MOD16A2GF_061_ET_500m_doy2025097000000_aid0001,ET_500m,aid0001,2025-04-07,562938,5.6,60.8,"(5.6,60.8)",20.6934863,7.5186913,56.5307192,26.8,45.5,20.7,5.6,14.3,0,2.587
MOD16A2GF_061_ET_500m_doy2025105000000_aid0001,ET_500m,aid0001,2025-04-15,562938,6.8,65.3,"(6.8,65.3)",22.5970419,7.1348805,50.90652,27.9,44.8,22.0,6.8,16.6,0,2.825
MOD16A2GF_061_ET_500m_doy2025113000000_aid0001,ET_500m,aid0001,2025-04-23,562938,7.5,69.3,"(7.5,69.3)",28.9205181,9.0920447,82.6652767,34.6,54.2,29.1,7.5,21.5,0,3.615
MOD16A2GF_061_ET_500m_doy2025121000000_aid0001,ET_500m,aid0001,2025-05-01,562938,10.9,62.9,"(10.9,62.9)",25.5722026,8.249068,68.0471224,30.6,48.0,25.3,10.9,19.0,0,3.197
MOD16A2GF_061_ET_500m_doy2025129000000_aid0001,ET_500m,aid0001,2025-05-09,562938,14.7,68.4,"(14.7,68.4)",26.8817257,7.8755475,62.0242485,31.5,48.1,25.3,14.7,20.4,0,3.36
MOD16A2GF_061_ET_500m_doy2025137000000_aid0001,ET_500m,aid0001,2025-05-17,562938,11.3,71.0,"(11.3,71.0)",26.6565508,7.5595373,57.1466042,31.9,48.8,26.0,11.3,20.6,0,3.332
MOD16A2GF_061_ET_500m_doy2025145000000_aid0001,ET_500m,aid0001,2025-05-25,562938,12.5,72.5,"(12.5,72.5)",27.9066082,7.1273082,50.7985217,32.6,48.2,27.6,12.5,22.2,0,3.488
MOD16A2GF_061_ET_500m_doy2025153000000_aid0001,ET_500m,aid0001,2025-06-02,562938,5.2,78.4,"(5.2,78.4)",34.7134645,9.6020896,92.200125,40.3,59.9,34.4,7.6,27.2,0,4.339
MOD16A2GF_061_ET_500m_doy2025161000000_aid0001,ET_500m,aid0001,2025-06-10,562938,11.8,67.5,"(11.8,67.5)",28.1117304,7.3901249,54.6139456,32.0,46.5,27.3,11.8,22.3,0,3.514
