date,date_8day,ETa_mm_day,ETa_mm_8day,QC_flag,month
2025-03-30,2025-03-30,2.741,21.9302154,0,3
2025-03-31,2025-03-30,2.741,21.9302154,0,3
2025-04-01,2025-03-30,2.741,21.9302154,0,4
2025-04-02,2025-03-30,2.741,21.9302154,0,4
2025-04-03,2025-03-30,2.741,21.9302154,0,4
2025-04-04,2025-03-30,2.741,21.9302154,0,4
2025-04-05,2025-03-30,2.741,21.9302154,0,4
2025-04-06,2025-03-30,2.741,21.9302154,0,4
2025-04-07,2025-04-07,2.587,20.6934863,0,4
2025-04-08,2025-04-07,2.587,20.6934863,0,4
2025-04-09,2025-04-07,2.587,20.6934863,0,4
2025-04-10,2025-04-07,2.587,20.6934863,0,4
2025-04-11,2025-04-07,2.587,20.6934863,0,4
2025-04-12,2025-04-07,2.587,20.6934863,0,4
2025-04-13,2025-04-07,2.587,20.6934863,0,4
2025-04-14,2025-04-07,2.587,20.6934863,0,4
2025-04-15,2025-04-15,2.825,22.5970419,0,4
2025-04-16,2025-04-15,2.825,22.5970419,0,4
2025-04-17,2025-04-15,2.825,22.5970419,0,4
2025-04-18,2025-04-15,2.825,22.5970419,0,4
2025-04-19,2025-04-15,2.825,22.5970419,0,4
2025-04-20,2025-04-15,2.825,22.5970419,0,4
2025-04-21,2025-04-15,2.825,22.5970419,0,4
2025-04-22,2025-04-15,2.825,22.5970419,0,4
2025-04-23,2025-04-23,3.615,28.9205181,0,4
2025-04-24,2025-04-23,3.615,28.9205181,0,4
2025-04-25,2025-04-23,3.615,28.9205181,0,4
2025-04-26,2025-04-23,3.615,28.9205181,0,4
2025-04-27,2025-04-23,3.615,28.9205181,0,4
2025-04-28,2025-04-23,3.615,28.9205181,0,4
2025-04-29,2025-04-23,3.615,28.9205181,0,4
2025-04-30,2025-04-23,3.615,28.9205181,0,4
2025-05-01,2025-05-01,3.197,25.5722026,0,5
2025-05-02,2025-05-01,3.197,25.5722026,0,5
2025-05-03,2025-05-01,3.197,25.5722026,0,5
2025-05-04,2025-05-01,3.197,25.5722026,0,5
2025-05-05,2025-05-01,3.197,25.5722026,0,5
2025-05-06,2025-05-01,3.197,25.5722026,0,5
2025-05-07,2025-05-01,3.197,25.5722026,0,5
2025-05-08,2025-05-01,3.197,25.5722026,0,5
2025-05-09,2025-05-09,3.36,26.8817257,0,5
2025-05-10,2025-05-09,3.36,26.8817257,0,5
2025-05-11,2025-05-09,3.36,26.8817257,0,5
2025-05-12,2025-05-09,3.36,26.8817257,0,5
2025-05-13,2025-05-09,3.36,26.8817257,0,5
2025-05-14,2025-05-09,3.36,26.8817257,0,5
2025-05-15,2025-05-09,3.36,26.8817257,0,5
2025-05-16,2025-05-09,3.36,26.8817257,0,5
2025-05-17,2025-05-17,3.332,26.6565508,0,5
2025-05-18,2025-05-17,3.332,26.6565508,0,5
2025-05-19,2025-05-17,3.332,26.6565508,0,5
2025-05-20,2025-05-17,3.332,26.6565508,0,5
2025-05-21,2025-05-17,3.332,26.6565508,0,5
2025-05-22,2025-05-17,3.332,26.6565508,0,5
2025-05-23,2025-05-17,3.332,26.6565508,0,5
2025-05-24,2025-05-17,3.332,26.6565508,0,5
2025-05-25,2025-05-25,3.488,27.9066082,0,5
2025-05-26,2025-05-25,3.488,27.9066082,0,5
2025-05-27,2025-05-25,3.488,27.9066082,0,5
2025-05-28,2025-05-25,3.488,27.9066082,0,5
2025-05-29,2025-05-25,3.488,27.9066082,0,5
2025-05-30,2025-05-25,3.488,27.9066082,0,5
2025-05-31,2025-05-25,3.488,27.9066082,0,5
2025-06-01,2025-05-25,3.488,27.9066082,0,6
2025-06-02,2025-06-02,4.339,34.7134645,0,6
2025-06-03,2025-06-02,4.339,34.7134645,0,6
2025-06-04,2025-06-02,4.339,34.7134645,0,6
2025-06-05,2025-06-02,4.339,34.7134645,0,6
2025-06-06,2025-06-02,4.339,34.7134645,0,6
