date,growth_stage,ETc_mm,precip_mm,soil_water_mm,soil_water_deficit_mm,drainage_mm,irrigation_recommended_mm,month
2025-05-01,Initial,3.197,1.07,77.873,2.127,0.0,0.0,5
2025-05-02,Initial,3.197,15.59,80.0,0.0,10.266,0.0,5
2025-05-03,Initial,3.198,20.8,80.0,0.0,17.602,0.0,5
2025-05-04,Initial,3.199,0.25,77.051,2.949,0.0,0.0,5
2025-05-05,Initial,3.196,0.05,73.905,6.095,0.0,0.0,5
2025-05-06,Initial,3.197,10.73,80.0,0.0,1.438,0.0,5
2025-05-07,Initial,3.198,5.15,80.0,0.0,1.952,0.0,5
2025-05-08,Initial,3.196,5.29,80.0,0.0,2.094,0.0,5
2025-05-09,Initial,3.359,0.81,77.451,2.549,0.0,0.0,5
2025-05-10,Initial,2.934,22.82,80.0,0.0,17.337,0.0,5
2025-05-11,Initial,3.36,19.55,80.0,0.0,16.19,0.0,5
2025-05-12,Initial,3.36,5.7,80.0,0.0,2.34,0.0,5
2025-05-13,Initial,3.362,4.78,80.0,0.0,1.418,0.0,5
2025-05-14,Initial,3.358,0.11,76.752,3.248,0.0,0.0,5
2025-05-15,Initial,3.358,0.08,73.474,6.526,0.0,0.0,5
2025-05-16,Initial,3.36,4.06,74.174,5.826,0.0,0.0,5
2025-05-17,Initial,3.331,11.56,80.0,0.0,2.403,0.0,5
2025-05-18,Initial,3.331,11.42,80.0,0.0,8.089,0.0,5
2025-05-19,Initial,3.332,2.22,78.888,1.112,0.0,0.0,5
2025-05-20,Initial,3.331,6.53,80.0,0.0,2.087,0.0,5
2025-05-21,Development,3.334,0.02,76.686,3.314,0.0,0.0,5
2025-05-22,Development,3.332,0.06,73.414,6.586,0.0,0.0,5
2025-05-23,Development,3.332,0.24,70.322,9.678,0.0,0.0,5
2025-05-24,Development,3.333,15.36,80.0,0.0,2.349,0.0,5
2025-05-25,Development,3.488,15.76,80.0,0.0,12.272,0.0,5
2025-05-26,Development,2.955,12.38,80.0,0.0,9.425,0.0,5
2025-05-27,Development,3.489,5.07,80.0,0.0,1.581,0.0,5
2025-05-28,Development,3.486,3.98,80.0,0.0,0.494,0.0,5
2025-05-29,Development,3.488,3.05,79.562,0.438,0.0,0.0,5
2025-05-30,Development,3.487,1.78,77.855,2.145,0.0,0.0,5
2025-05-31,Development,3.49,0.05,74.415,5.585,0.0,0.0,5
2025-06-01,Development,3.486,0.01,70.939,9.061,0.0,0.0,6
2025-06-02,Development,4.34,0.0,66.599,13.401,0.0,0.0,6
2025-06-03,Development,4.338,0.01,62.271,17.729,0.0,0.0,6
2025-06-04,Development,4.341,1.42,59.35,20.65,0.0,0.0,6
2025-06-05,Development,4.341,0.56,55.569,24.431,0.0,0.0,6
2025-06-06,Development,4.338,1.23,80.0,27.539,0.0,27.539,6
2025-06-07,Development,4.337,29.59,80.0,0.0,25.253,0.0,6
2025-06-08,Development,4.341,17.83,80.0,0.0,13.489,0.0,6
2025-06-09,Development,4.34,10.71,80.0,0.0,6.37,0.0,6
2025-06-10,Development,3.512,0.0,76.488,3.512,0.0,0.0,6
2025-06-11,Development,3.516,0.0,72.972,7.028,0.0,0.0,6
2025-06-12,Development,3.513,5.12,74.579,5.421,0.0,0.0,6
2025-06-13,Development,3.515,17.74,80.0,0.0,8.804,0.0,6
2025-06-14,Development,3.512,21.13,80.0,0.0,17.618,0.0,6
2025-06-15,Development,3.513,5.57,80.0,0.0,2.057,0.0,6
2025-06-16,Development,3.516,14.52,80.0,0.0,11.004,0.0,6
2025-06-17,Development,3.515,11.47,80.0,0.0,7.955,0.0,6
2025-06-18,Development,4.616,4.45,79.834,0.166,0.0,0.0,6
2025-06-19,Development,3.522,18.27,80.0,0.0,14.582,0.0,6
2025-06-20,Development,4.615,9.04,80.0,0.0,4.425,0.0,6
2025-06-21,Development,4.614,0.39,75.776,4.224,0.0,0.0,6
2025-06-22,Development,4.618,0.38,71.538,8.462,0.0,0.0,6
2025-06-23,Development,4.619,6.43,73.349,6.651,0.0,0.0,6
2025-06-24,Development,4.617,1.68,70.412,9.588,0.0,0.0,6
2025-06-25,Development,4.618,9.3,75.094,4.906,0.0,0.0,6
2025-06-26,Development,4.04,2.33,73.384,6.616,0.0,0.0,6
2025-06-27,Development,4.039,1.61,70.955,9.045,0.0,0.0,6
2025-06-28,Development,4.036,2.11,69.029,10.971,0.0,0.0,6
2025-06-29,Development,4.036,21.18,80.0,0.0,6.173,0.0,6
